ID,AreaCodeID,CountryID,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type,Comment
50144,11044,11044,1413,250144,,,,,,,,220029,,
50144,11044,11044,1413,250144,,,,,,,,,Cyrillic,220029
50148,11044,11044,1413,250148,,,Karvata St.,,,,,,,
50148,11044,11044,1413,250148,,,,,,,,,Cyrillic,ул. Карвата
50148,11044,11044,1413,250148,,,,Building 85,,,,,,
50148,11044,11044,1413,250148,,,,,,,,,Cyrillic,д. 85
50148,11044,11044,1413,250148,,,,,,Minsk,,,,
50148,11044,11044,1413,250148,,,,,,,,,Cyrillic,Минск
50148,11044,11044,1413,250148,,,,,,,,220138,,
50148,11044,11044,1413,250148,,,,,,,,,Cyrillic,220138
50150,11044,11044,1413,250150,,,25 Makayonka St.,,,,,,,
50150,11044,11044,1413,250150,,,,,,Minsk,,,,
50150,11044,11044,1413,250150,,,,,,,,220114,,
50151,11044,11044,1413,250151,,,25 Makaenka St.,,,,,,,
50151,11044,11044,1413,250151,,,,,,Minsk,,,,
50151,11044,11044,1413,250151,,,,,,,,220114,,
50153,11044,11044,1413,250153,,,Nezavisimosti Ave. 86-B,,,,,,,
50153,11044,11044,1413,250153,,,,,,Minsk,,,,
50153,11044,11044,1413,250153,,,,,,,,220012,,
50155,11044,11044,1413,250155,,,Room 20,,,,,,,
50155,11044,11044,1413,250155,,,,Administrative Building 187,,,,,,
50155,11044,11044,1413,250155,,,,,Soltysa St.,,,,,
50155,11044,11044,1413,250155,,,,,,Minsk,,,,
50155,11044,11044,1413,250155,,,,,,,,220070,,
50156,11044,11044,1413,250156,,,D. 5/1,,,,,,,
50156,11044,11044,1413,250156,,,,,,,,,Cyrillic,Д. 5/1
50156,11044,11044,1413,250156,,,,Ustenskiy Selsovyet,,,,,,
50156,11044,11044,1413,250156,,,,,,,,,Cyrillic,Устенский сельсовет
50156,11044,11044,1413,250156,,,,,"Vitebskaya Oblast, Orshanskiy Rayon",,,,,
50156,11044,11044,1413,250156,,,,,,,,,Cyrillic,"Витебская Область, Оршанский Район"
50156,11044,11044,1413,250156,,,,,,Ag. Ustye,,,,
50156,11044,11044,1413,250156,,,,,,,,,Cyrillic,аг. Устье
50156,11044,11044,1413,250156,,,,,,,,211003,,
50156,11044,11044,1413,250156,,,,,,,,,Cyrillic,211003
50158,11044,11044,1413,250158,,,"44, Zakharova Str.",,,,,,,
50158,11044,11044,1413,250158,,,,,,,,,Cyrillic,"Ул. Захарова, 44"
50158,11044,11044,1413,250158,,,,,,Minsk,,,,
50158,11044,11044,1413,250158,,,,,,,,,Cyrillic,Минск
50158,11044,11044,1413,250158,,,,,,,,220034,,
50158,11044,11044,1413,250158,,,,,,,,,Cyrillic,220034
51583,11044,11044,1413,251583,,,d. 11,,,,,,,
51583,11044,11044,1413,251583,,,,,,,,,Cyrillic,д. 11
51583,11044,11044,1413,251583,,,,Ul. Pervomayskaya,,,,,,
51583,11044,11044,1413,251583,,,,,,,,,Cyrillic,ул. Первомайская
51583,11044,11044,1413,251583,,,,,,Minsk,,,,
51583,11044,11044,1413,251583,,,,,,,,,Cyrillic,Минск
51583,11044,11044,1413,251583,,,,,,,,220034,,
51583,11044,11044,1413,251583,,,,,,,,,Cyrillic,220034
50162,11044,11044,1413,250162,,,ul. Shchukina 15,,,,,,,
50162,11044,11044,1413,250162,,,,,,,,,Cyrillic,ул. Щукина 15
50162,11044,11044,1413,250162,,,,,,Minsk,,,,
50162,11044,11044,1413,250162,,,,,,,,,Cyrillic,Минск
50163,11044,11044,1413,250163,,,"ul. Frantsiska Skoriny 43A, kv. 41",,,,,,,
