ID,FixedRef,AreaCodeID,Country,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type
4635,6707,11291,,,204635,,,,,,,,,Latin
4636,6708,11291,,,204636,,,,,,,,,Latin
4637,6709,11291,,,204637,,,,,,,,,Latin
4638,6710,11173,Saint Kitts and Nevis,,204638,,,Cardin Avenue,,,,,,Latin
4640,6712,11291,,,204640,,,,,,,,,Latin
4641,6713,11291,,,204641,,,,,,,,,Latin
4643,6714,11291,,,204643,,,,,,,,,Latin
4642,6715,11291,,,204642,,,,,,,,,Latin
4647,6717,11066,Colombia,,204647,,,Hacienda Coque,,,Cartago,,,Latin
4648,6717,11066,Colombia,,204648,,,Carrera 4 No. 16-04 apt. 303,,,Cartago,,,Latin
4649,6717,11066,Colombia,,204649,,,c/o AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,,,Cartago,,,Latin
4650,6717,11066,Colombia,,204650,,,c/o COMPANIA AGROINVERSORA HENAGRO LTDA.,,,Cartago,,,Latin
4651,6717,11066,Colombia,,204651,,,c/o DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,,,Cartago,,,Latin
4652,6717,11066,Colombia,,204652,,,c/o MAQUINARIA TECNICA Y TIERRAS LTDA.,,,Cartago,,,Latin
4653,6717,11066,Colombia,,204653,,,c/o ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,,,Cartago,,,Latin
5573,6717,11066,Colombia,,205573,,,c/o AGROPECUARIA MIRALINDO S.A.,,,Cartago,,,Latin
5574,6717,11066,Colombia,,205574,,,c/o ARIZONA S.A.,,,Cartago,,,Latin
5575,6717,11066,Colombia,,205575,,,Carrera 8N No. 17A-12,,,Cartago,,,Latin
5576,6717,11066,Colombia,,205576,,,Carrera 42 No. 5B-81,,,Cali,,,Latin
4654,6718,11066,Colombia,,204654,,,Calle 6A No. 34-65,,,Cali,,,Latin
12989,6718,11066,Colombia,,212989,,,c/o DISDROGAS LTDA.,,,Yumbo,Valle,,Latin
